country_name,country_code,development_flag,date,gdp_growth_per_capita,gdp_per_capita,log_gdp_per_capita
Luxembourg,LUX,developed country,1973,7.122759097325627,NA,NA
Luxembourg,LUX,developed country,1974,2.862306114045637,NA,NA
Luxembourg,LUX,developed country,1975,-7.586477105046143,NA,NA
Luxembourg,LUX,developed country,1976,2.02810174230585,NA,NA
Luxembourg,LUX,developed country,1977,1.3935355579813375,NA,NA
Luxembourg,LUX,developed country,1978,3.888388213451478,NA,NA
Luxembourg,LUX,developed country,1979,2.1061461242643844,NA,NA
Luxembourg,LUX,developed country,1980,0.48254685201776226,NA,NA
Luxembourg,LUX,developed country,1981,-0.8436729481478125,NA,NA
Luxembourg,LUX,developed country,1982,1.0483007076179263,NA,NA
Luxembourg,LUX,developed country,1983,2.9617528589606508,NA,NA
Luxembourg,LUX,developed country,1984,6.0778481946047265,NA,NA
Luxembourg,LUX,developed country,1985,2.5932443177375575,NA,NA
Luxembourg,LUX,developed country,1986,9.491578489866896,NA,NA
Luxembourg,LUX,developed country,1987,3.2794638557490146,NA,NA
Luxembourg,LUX,developed country,1988,7.679106042139196,NA,NA
Luxembourg,LUX,developed country,1989,8.73531558732435,NA,NA
Luxembourg,LUX,developed country,1990,4.009810208508952,29933.350120488016,10.306728526440109
Luxembourg,LUX,developed country,1991,7.1984061937498325,33173.22850850257,10.409498459387402
Luxembourg,LUX,developed country,1992,0.4760770039422937,34090.761036515425,10.436781689215866
Luxembourg,LUX,developed country,1993,2.8112213084695554,35879.911742745135,10.487932856379995
Luxembourg,LUX,developed country,1994,2.416629036827871,37531.67324451083,10.532940475321494
Luxembourg,LUX,developed country,1995,0.017299921845008726,38325.31544842202,10.553865934584733
Luxembourg,LUX,developed country,1996,0.027251337993348557,39710.39389039184,10.589368243249908
Luxembourg,LUX,developed country,1997,4.106640711258478,42485.5935637368,10.656920322476607
Luxembourg,LUX,developed country,1998,5.355837386318598,44267.45226739677,10.69800497420333
Luxembourg,LUX,developed country,1999,6.723966803427643,49844.67696279759,10.816666988601169
Luxembourg,LUX,developed country,2000,5.510409395158391,55117.256479393785,10.91721813085289
Luxembourg,LUX,developed country,2001,1.8545746813748707,56125.22944892358,10.93534071321301
Luxembourg,LUX,developed country,2002,2.1496098989168644,58575.67927175441,10.978074859924282
Luxembourg,LUX,developed country,2003,1.3798933588558668,60196.543506965514,11.005370212820688
Luxembourg,LUX,developed country,2004,2.7608881807072834,64692.597067268245,11.077402054580437
Luxembourg,LUX,developed country,2005,0.9267657607471307,68787.8547494266,11.138782478533368
Luxembourg,LUX,developed country,2006,4.3391083145198195,78878.4577485144,11.27566343721563
Luxembourg,LUX,developed country,2007,6.4420313662556765,85109.87944763829,11.351698400039952
Luxembourg,LUX,developed country,2008,-2.06647390176839,90970.72119801471,11.418292988651173
Luxembourg,LUX,developed country,2009,-5.014263012620745,86875.8537667967,11.372235410350276
Luxembourg,LUX,developed country,2010,1.8835473097916093,90361.783087755015,11.411576703540796
Luxembourg,LUX,developed country,2011,-1.1767978668692791,94475.03022650235,11.456090848159446
Luxembourg,LUX,developed country,2012,-0.7621834095486832,96636.426643956,11.478711036532573
Luxembourg,LUX,developed country,2013,0.8146523085376742,100925.01199224053,11.522133064544425
Luxembourg,LUX,developed country,2014,0.232564441498198,105296.28458823191,11.564533413437195
Luxembourg,LUX,developed country,2015,-0.11547630553289423,107859.68599930758,11.5885864576994
Luxembourg,LUX,developed country,2016,2.7397918015241913,113365.17608226545,11.638369533892593
Luxembourg,LUX,developed country,2017,-1.1161129623962154,114985.8422359888,11.652564288775205
Luxembourg,LUX,developed country,2018,0.055731941987332334,116965.58611077446,11.669635034708126
Luxembourg,LUX,developed country,2019,1.2762726467025516,117341.91506435387,11.67284730299056
Luxembourg,LUX,developed country,2020,-3.3994386562452235,117846.13649183013,11.677135124558587
Luxembourg,LUX,developed country,2021,5.43965939283666,134753.79768606418,11.811204671573098
North America,"NAC",developed country,1961,0.5878853124325474,NA,NA
North America,"NAC",developed country,1962,4.449210068058605,NA,NA
North America,"NAC",developed country,1963,2.866833008723546,NA,NA
North America,"NAC",developed country,1964,4.295485499085785,NA,NA
North America,"NAC",developed country,1965,5.023053808465264,NA,NA
North America,"NAC",developed country,1966,5.2120556609221325,NA,NA
North America,"NAC",developed country,1967,1.3285153602959667,NA,NA
North America,"NAC",developed country,1968,3.6974695186220004,NA,NA
North America,"NAC",developed country,1969,2.0607064439575993,NA,NA
North America,"NAC",developed country,1970,-1.456483301625525,NA,NA
North America,"NAC",developed country,1971,1.833324056012259,NA,NA
North America,"NAC",developed country,1972,4.127468785108874,NA,NA
North America,"NAC",developed country,1973,4.613260390683152,NA,NA
North America,"NAC",developed country,1974,-1.4896631767785493,NA,NA
North America,"NAC",developed country,1975,-1.227106163205974,NA,NA
North America,"NAC",developed country,1976,4.356706178832255,NA,NA
North America,"NAC",developed country,1977,3.5615151874194027,NA,NA
North America,"NAC",developed country,1978,4.427129954182462,NA,NA
North America,"NAC",developed country,1979,2.044730792164941,NA,NA
North America,"NAC",developed country,1980,-1.236306520754951,NA,NA
North America,"NAC",developed country,1981,1.5113481055730063,NA,NA
North America,"NAC",developed country,1982,-2.759183553797371,NA,NA
North America,"NAC",developed country,1983,3.622899599150159,NA,NA
North America,"NAC",developed country,1984,6.299984705832713,NA,NA
North America,"NAC",developed country,1985,3.2444123714960824,NA,NA
North America,"NAC",developed country,1986,2.505572984924001,NA,NA
North America,"NAC",developed country,1987,2.496079979888009,NA,NA
North America,"NAC",developed country,1988,3.195825874013508,NA,NA
North America,"NAC",developed country,1989,2.60997148092774,NA,NA
North America,"NAC",developed country,1990,0.7026247917620907,23399.422539107072,10.060466623225354
North America,"NAC",developed country,1991,-1.426382412942175,23845.82643681232,10.079364488836374
North America,"NAC",developed country,1992,2.115956525912793,24905.46353647573,10.122842477519512
North America,"NAC",developed country,1993,1.4281626454704934,25859.91861949269,10.16044950535619
North America,"NAC",developed country,1994,2.7727135154316898,27144.617213494756,10.208934044692684
North America,"NAC",developed country,1995,1.4853192076247552,28125.376923763437,10.24442754115073
North America,"NAC",developed country,1996,2.5838122862737833,29380.4098016635,10.288083397951336
North America,"NAC",developed country,1997,3.2188628473066814,30849.070889740902,10.33686191185378
North America,"NAC",developed country,1998,3.185003048518979,32212.675293440792,10.380115296728997
North America,"NAC",developed country,1999,3.574079487499631,33862.626107687145,10.430067210496778
North America,"NAC",developed country,2000,3.0044217746485202,35650.12321669502,10.48150788212525
North America,"NAC",developed country,2001,-0.015001501053319544,36460.32577380005,10.503979983294219
North America,"NAC",developed country,2002,0.8609197433287363,37310.271436123134,10.527023941346155
North America,"NAC",developed country,2003,1.9851718191779497,38792.38217918992,10.565979170747122
North America,"NAC",developed country,2004,2.898859991936547,40962.00099032267,10.620400110822954
North America,"NAC",developed country,2005,2.6398508322503744,43360.9283244452,10.677314045580959
North America,"NAC",developed country,2006,1.8942818474095162,45501.79533906804,10.725507062162091
North America,"NAC",developed country,2007,1.403197444404853,47221.51470279663,10.762604887693785
North America,"NAC",developed country,2008,-0.7662024120376003,47767.8073076115,10.774107204296643
North America,"NAC",developed country,2009,-3.502189495622588,46376.80320469917,10.744554682274005
North America,"NAC",developed country,2010,1.8594536380570332,47808.029303061245,10.774948881424473
North America,"NAC",developed country,2011,0.9121080579442662,49236.05772226617,10.804381514588467
North America,"NAC",developed country,2012,1.4535462033297648,50842.10909948624,10.836480209483945
North America,"NAC",developed country,2013,1.1397236540108509,52395.74769527801,10.866580716162751
North America,"NAC",developed country,2014,1.556803340323441,54188.0672775148,10.9002160022573
