location,gdp_hr_worked,date,multifactor_prod_agrwth,capital_services_pc_growth,adult_education_pc,avg_wage,trade_union_density,int_trade_pc_gdp,transport_investment_eur,unemployment_pc,r_and_d_spending_pc,flexible_work_pc
CAN,34.927277,1986-01-01,-0.955231,3.377011,NA,NA,NA,31570.4967,NA,9.5900001525878906,NA,34.900001525878899
CAN,35.096652,1987-01-01,0.488964,3.509276,NA,NA,NA,29747.4689,NA,8.8199996948242205,NA,37.419998168945298
CAN,35.439586,1988-01-01,0.729398,4.258406,NA,NA,NA,26498.9693,NA,7.7600002288818404,NA,34.2299995422363
CAN,35.527063,1989-01-01,-0.33337,4.09607,NA,NA,NA,19181.6147,NA,7.5500001907348597,NA,30.659999847412099
CAN,35.483603,1990-01-01,-1.068947,3.508795,28.036085,34321.9347027396,NA,24148.9925,NA,8.1300001144409197,NA,32.509998321533203
CAN,35.781103,1991-01-01,-0.933801,3.120933,28.271395,34115.2030670587,NA,22893.7577,NA,10.319999694824199,NA,36.029998779296903
CAN,36.506825,1992-01-01,1.011327,2.385975,29.020555,34634.5231023176,NA,28394.0352,NA,11.199999809265099,NA,39.610000610351598
CAN,37.243424,1993-01-01,1.523515,2.342242,30.386959,34588.9038233341,NA,37302.6392,NA,11.3800001144409,NA,38.040000915527301
CAN,37.983457,1994-01-01,1.856053,2.870078,33.485878,34418.5127335618,NA,50614.4395,NA,10.3999996185303,NA,36.090000152587898
CAN,38.441119,1995-01-01,0.809467,2.989139,34.537247,34519.4088387694,NA,61299.4843,3866421569,9.4899997711181605,NA,37.159999847412102
CAN,38.353518,1996-01-01,-0.584337,3.257511,35.634304,34874.5457364194,NA,65605.5099,3611945471,9.6199998855590803,1.6120899915695199,35.869998931884801
CAN,39.317604,1997-01-01,1.913976,3.993012,37.415951,36207.175148775,NA,58112.523,3887614679,9.1000003814697301,1.6138600111007699,35.569999694824197
CAN,40.017667,1998-01-01,1.141879,4.484777,38.258327,36936.6736861053,NA,74488.9875,3639425101,8.2799997329711896,1.71051001548767,36.950000762939503
CAN,41.009851,1999-01-01,1.945148,4.482522,39.376038,37410.4084795312,NA,90132.2176,3716970423,7.5799999237060502,1.74985003471375,35.720001220703097
CAN,42.251955,2000-01-01,2.328599,4.575915,40.105782,38466.6566280747,31.1583383230129,99934.3952,4334159860,6.8299999237060502,1.8584799766540501,33.889999389648402
CAN,42.789437,2001-01-01,0.267128,4.220859,41.881519,38308.5753582263,31.0221554972538,103110.2082,4868392587,7.2199997901916504,2.0211699008941699,37.240001678466797
CAN,43.446289,2002-01-01,1.043816,3.186689,42.873188,37896.0596486427,30.2957790394976,102401.2767,4436201780,7.6599998474121103,1.9717099666595499,38
CAN,43.476698,2003-01-01,-0.39762,3.473754,44.123833,37901.6682046413,30.173848387211,82096.5926,4426675095,7.5700001716613796,1.9678100347518901,41.240001678466797
CAN,43.764566,2004-01-01,0.2463,4.027437,44.548969,38919.5083320825,30.4117843061032,77122.9384,4529375386,7.1900000572204599,1.9973399639129601,39.5200004577637
CAN,44.806922,2005-01-01,1.357096,4.934962,45.976749,40585.3810278452,30.4142668319442,60946.4393,6074054448,6.7600002288818404,1.97126996517181,38.200000762939503
CAN,45.316404,2006-01-01,0.297012,5.140576,46.881516,41870.5851291601,30.0881151944982,44744.416,7376070777,6.3200001716613796,1.9430400133132899,39.650001525878899
CAN,45.387391,2007-01-01,-0.491328,4.953318,48.181564,42882.1152802736,30.1936417135155,26958.635,8449860440,6.03999996185303,1.90357995033264,38.25
CAN,45.35477,2008-01-01,-0.801135,4.427811,48.706802,43692.4758336109,29.8181206011279,3007.8141,9368947604,6.1399998664856001,1.85578000545502,39.450000762939503
CAN,45.681968,2009-01-01,-0.747962,2.355625,49.290722,44161.552643477,30.6953200375349,317.0719,11383421651,8.3400001525878906,1.9174200296402,42.610000610351598
